ë™íËîNìx,çÄñ⁄éÌóﬁÉRÅ[Éh,çÄñ⁄ÉRÅ[Éh_êîéö,çÄñ⁄ÉRÅ[Éh_âpêîéö,ë™íËï˚ñ@ÉRÅ[Éh,ìsìπï{åßÉRÅ[Éh,ìsìπï{åßñº,ìsìπï{åß_ÉçÅ[É}éö,ésãÊí¨ë∫ÉRÅ[Éh,ésãÊí¨ë∫ñº,ésãÊí¨ë∫ñº_ÉçÅ[É}éö,ë™íËã«ÉRÅ[Éh,ë™íËã«ñº,ë™íËã«ñº_ÉçÅ[É}éö,ë™íËã«ãÊï™ÉRÅ[Éh,ë™íËã«éÌï ÉRÅ[Éh,ópìrínàÊÉRÅ[Éh,ópìrínàÊñº,óﬂï ï\ëÊÇRÇÃãÊï™,óLå¯ë™íËì˙êî(ì˙),ë™íËéûä‘(éûä‘),îNïΩãœíl(ppm),ÇPéûä‘ílÇÃç≈çÇíl(ppm),ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘),ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êîÇÃë™íËéûä‘êîÇ…ëŒÇ∑ÇÈäÑçá(%),ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘),ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êîÇÃë™íËéûä‘êîÇ…ëŒÇ∑ÇÈäÑçá(%),ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙),ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êîÇÃóLå¯ë™íËì˙êîÇ…ëŒÇ∑ÇÈäÑçá(%),ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙),ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êîÇÃóLå¯ë™íËì˙êîÇ…ëŒÇ∑ÇÈäÑçá(%),ì˙ïΩãœílÇÃîNä‘98%íl(ppm),98%ílï]âøÇ…ÇÊÇÈì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙),ë™íËï˚ñ@,îNä‘èWåvçÄñ⁄16,óLå¯ë™íËì˙êî(ì˙)_ÇSåé,óLå¯ë™íËì˙êî(ì˙)_ÇTåé,óLå¯ë™íËì˙êî(ì˙)_ÇUåé,óLå¯ë™íËì˙êî(ì˙)_ÇVåé,óLå¯ë™íËì˙êî(ì˙)_ÇWåé,óLå¯ë™íËì˙êî(ì˙)_ÇXåé,óLå¯ë™íËì˙êî(ì˙)_10åé,óLå¯ë™íËì˙êî(ì˙)_11åé,óLå¯ë™íËì˙êî(ì˙)_12åé,óLå¯ë™íËì˙êî(ì˙)_ÇPåé,óLå¯ë™íËì˙êî(ì˙)_ÇQåé,óLå¯ë™íËì˙êî(ì˙)_ÇRåé,ë™íËéûä‘(éûä‘)_ÇSåé,ë™íËéûä‘(éûä‘)_ÇTåé,ë™íËéûä‘(éûä‘)_ÇUåé,ë™íËéûä‘(éûä‘)_ÇVåé,ë™íËéûä‘(éûä‘)_ÇWåé,ë™íËéûä‘(éûä‘)_ÇXåé,ë™íËéûä‘(éûä‘)_10åé,ë™íËéûä‘(éûä‘)_11åé,ë™íËéûä‘(éûä‘)_12åé,ë™íËéûä‘(éûä‘)_ÇPåé,ë™íËéûä‘(éûä‘)_ÇQåé,ë™íËéûä‘(éûä‘)_ÇRåé,åéïΩãœíl(ppm)_ÇSåé,åéïΩãœíl(ppm)_ÇTåé,åéïΩãœíl(ppm)_ÇUåé,åéïΩãœíl(ppm)_ÇVåé,åéïΩãœíl(ppm)_ÇWåé,åéïΩãœíl(ppm)_ÇXåé,åéïΩãœíl(ppm)_10åé,åéïΩãœíl(ppm)_11åé,åéïΩãœíl(ppm)_12åé,åéïΩãœíl(ppm)_ÇPåé,åéïΩãœíl(ppm)_ÇQåé,åéïΩãœíl(ppm)_ÇRåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇSåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇTåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇUåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇVåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇWåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇXåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_10åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_11åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_12åé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇPåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇQåé,ÇPéûä‘ílÇÃç≈çÇíl(ppm)_ÇRåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇSåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇTåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇUåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇVåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇWåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇXåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_10åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_11åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_12åé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇPåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇQåé,ì˙ïΩãœílÇÃç≈çÇíl(ppm)_ÇRåé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇSåé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇTåé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇUåé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇVåé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇWåé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇXåé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_10åé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_11åé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_12åé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇPåé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇQåé,ÇPéûä‘ílÇ™0.2ppmÇí¥Ç¶ÇΩéûä‘êî(éûä‘)_ÇRåé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_ÇSåé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_ÇTåé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_ÇUåé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_ÇVåé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_ÇWåé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_ÇXåé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_10åé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_11åé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_12åé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_ÇPåé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_ÇQåé,ÇPéûä‘ílÇ™0.1ppmà»è„0.2ppmà»â∫ÇÃéûä‘êî(éûä‘)_ÇRåé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇSåé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇTåé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇUåé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇVåé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇWåé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇXåé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_10åé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_11åé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_12åé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇPåé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇQåé,ì˙ïΩãœílÇ™0.06ppmÇí¥Ç¶ÇΩì˙êî(ì˙)_ÇRåé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_ÇSåé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_ÇTåé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_ÇUåé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_ÇVåé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_ÇWåé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_ÇXåé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_10åé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_11åé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_12åé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_ÇPåé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_ÇQåé,ì˙ïΩãœílÇ™0.04ppmà»è„0.06ppmà»â∫ÇÃì˙êî(ì˙)_ÇRåé
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101010,ÉZÉìÉ^Å[,Senta,1,0,2,è§,10,186,4453,0.007,0.035,0,0,0,0,0,0,0,0,0.012,0,2,,30,31,30,31,31,30,3,0,0,0,0,0,718,742,718,736,742,716,81,0,0,0,0,0,0.01,0.008,0.007,0.006,0.007,0.007,0.008,,,,,,0.035,0.029,0.022,0.021,0.022,0.035,0.02,,,,,,0.015,0.015,0.012,0.012,0.014,0.011,0.012,,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,,,,,
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101520,ñkÇPè,Kita1Jou,2,0,2,è§,10,364,8699,0.015,0.09,0,0,0,0,0,0,7,1.9,0.039,0,2,,30,31,30,31,31,30,31,29,31,31,28,31,718,740,718,735,742,716,742,706,735,737,670,740,0.012,0.009,0.008,0.008,0.009,0.009,0.014,0.017,0.022,0.027,0.025,0.023,0.039,0.035,0.033,0.031,0.027,0.038,0.047,0.059,0.071,0.07,0.09,0.063,0.018,0.018,0.014,0.014,0.017,0.013,0.021,0.028,0.036,0.046,0.042,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01101,éDñyésíÜâõãÊ,Sapporo-shi Chuuou-ku,01101540,ìÏÇPÇSè,Minami14Jou,2,0,2,è§,10,365,8716,0.013,0.067,0,0,0,0,0,0,1,0.3,0.035,0,2,,30,31,30,31,31,30,31,30,31,31,28,31,718,740,718,735,741,717,742,716,742,737,669,741,0.009,0.008,0.006,0.006,0.006,0.007,0.011,0.015,0.02,0.025,0.023,0.019,0.043,0.027,0.02,0.017,0.019,0.03,0.049,0.053,0.065,0.064,0.067,0.062,0.014,0.013,0.009,0.009,0.01,0.013,0.018,0.028,0.034,0.042,0.033,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102010,é¬òH,Shinoro,1,0,1,èZ,10,365,8721,0.008,0.073,0,0,0,0,0,0,1,0.3,0.029,0,2,,30,31,30,31,31,30,31,30,31,31,28,31,718,742,718,736,741,717,742,718,737,742,670,740,0.005,0.004,0.004,0.003,0.004,0.004,0.007,0.009,0.012,0.017,0.015,0.014,0.035,0.019,0.015,0.011,0.016,0.02,0.038,0.04,0.051,0.071,0.073,0.07,0.01,0.008,0.007,0.006,0.008,0.007,0.016,0.021,0.026,0.04,0.031,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102020,çëê›éDñy,Kokusetsusapporotaikikankyousokuteisho,1,0,1,èZ,10,364,8687,0.011,0.087,0,0,0,0,0,0,2,0.5,0.036,0,2,,30,31,30,31,31,29,31,30,31,31,28,31,715,738,713,736,740,708,739,716,738,740,668,736,0.007,0.006,0.005,0.005,0.005,0.005,0.009,0.012,0.018,0.023,0.019,0.016,0.046,0.027,0.02,0.016,0.02,0.031,0.046,0.052,0.068,0.087,0.078,0.064,0.013,0.012,0.009,0.007,0.01,0.009,0.023,0.026,0.036,0.047,0.039,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01102,éDñyésñkãÊ,Sapporo-shi Kita-ku,01102510,ñkÇPÇXè,Kita19Jou,2,0,2,è§,10,365,8716,0.013,0.086,0,0,0,0,0,0,11,3,0.041,0,2,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,711,742,742,716,741,718,741,736,670,740,0.009,0.007,0.006,0.005,0.006,0.007,0.012,0.015,0.02,0.026,0.023,0.021,0.045,0.029,0.024,0.015,0.018,0.034,0.05,0.056,0.075,0.086,0.072,0.074,0.016,0.014,0.011,0.008,0.011,0.011,0.025,0.031,0.04,0.049,0.043,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01103,éDñyésìåãÊ,Sapporo-shi Higashi-ku,01103520,ìåÇPÇWíöñ⁄,Higashi18Choume,2,0,2,è§,10,365,8716,0.014,0.081,0,0,0,0,0,0,11,3,0.042,0,2,,30,31,30,31,31,30,31,30,31,31,28,31,718,740,711,742,742,717,742,714,742,737,670,741,0.011,0.008,0.007,0.005,0.006,0.008,0.013,0.015,0.021,0.027,0.026,0.023,0.043,0.03,0.028,0.02,0.021,0.034,0.052,0.051,0.081,0.073,0.078,0.068,0.019,0.016,0.015,0.012,0.013,0.012,0.024,0.03,0.042,0.046,0.045,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01105,éDñyésñLïΩãÊ,Sapporo-shi Toyohira-ku,01105520,åéä¶íÜâõ,Tsukisamuchuuou,2,0,2,è§,10,365,8716,0.012,0.075,0,0,0,0,0,0,0,0,0.032,0,2,,30,31,30,31,31,30,31,30,31,31,28,31,717,741,717,736,742,717,742,715,741,738,669,741,0.009,0.007,0.006,0.005,0.005,0.006,0.01,0.013,0.018,0.024,0.021,0.018,0.032,0.033,0.03,0.022,0.022,0.029,0.033,0.048,0.05,0.075,0.061,0.056,0.017,0.015,0.012,0.012,0.011,0.009,0.016,0.023,0.027,0.037,0.032,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01107,éDñyésêºãÊ,Sapporo-shi Nishi-ku,01107020,î≠ä¶,Hassamu,1,0,1,èZ,10,365,8719,0.009,0.072,0,0,0,0,0,0,1,0.3,0.032,0,2,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,718,735,742,716,742,718,737,742,670,740,0.006,0.005,0.004,0.003,0.003,0.004,0.007,0.009,0.014,0.019,0.016,0.013,0.027,0.037,0.014,0.013,0.013,0.027,0.036,0.046,0.049,0.071,0.072,0.067,0.011,0.013,0.007,0.006,0.006,0.008,0.017,0.024,0.028,0.04,0.035,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01108,éDñyéså˙ï ãÊ,Sapporo-shi Atsubetsu-ku,01108010,å˙ï ,Atsubetsu,1,0,2,è§,10,365,8718,0.011,0.083,0,0,0,0,0,0,1,0.3,0.034,0,2,,30,31,30,31,31,30,31,30,31,31,28,31,717,742,712,740,742,716,742,718,737,742,670,740,0.007,0.006,0.005,0.004,0.004,0.006,0.01,0.013,0.018,0.023,0.022,0.016,0.038,0.034,0.034,0.017,0.02,0.028,0.038,0.053,0.053,0.083,0.073,0.061,0.012,0.011,0.01,0.007,0.007,0.009,0.019,0.022,0.034,0.038,0.045,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01202,îüäŸés,Hakodate-shi,01202100,íÜïîè¨äwçZ,Chuubushougakkou,1,0,2,è§,20,363,8714,0.01,0.059,0,0,0,0,0,0,0,0,0.027,0,2,,30,31,29,31,31,30,31,30,30,31,28,31,717,742,706,742,741,718,742,718,735,742,670,741,0.009,0.007,0.006,0.004,0.005,0.006,0.012,0.013,0.017,0.016,0.016,0.013,0.04,0.042,0.032,0.032,0.033,0.026,0.039,0.052,0.059,0.051,0.05,0.055,0.015,0.016,0.016,0.009,0.015,0.011,0.025,0.021,0.03,0.034,0.028,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01202,îüäŸés,Hakodate-shi,01202120,ê[ñxíÜäwçZ,Fukaborichuugakkou,1,0,1,èZ,20,363,8719,0.007,0.051,0,0,0,0,0,0,0,0,0.022,0,2,,30,31,29,31,31,30,31,30,30,31,28,31,717,742,710,742,742,717,742,718,736,742,670,741,0.006,0.005,0.004,0.003,0.003,0.003,0.006,0.008,0.012,0.013,0.011,0.009,0.027,0.025,0.021,0.024,0.019,0.018,0.03,0.042,0.047,0.048,0.05,0.051,0.01,0.011,0.009,0.007,0.008,0.006,0.015,0.018,0.026,0.029,0.024,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,03,NO2,2,01,ñkäCìπ,Hokkai-do,01202,îüäŸés,Hakodate-shi,01202560,î¸å¥,Mihara,2,0,1,èZ,20,360,8656,0.009,0.057,0,0,0,0,0,0,0,0,0.02,0,2,,30,31,30,31,31,30,31,30,30,31,28,27,718,742,713,742,741,718,742,718,736,742,670,674,0.007,0.007,0.006,0.004,0.005,0.004,0.008,0.011,0.014,0.014,0.013,0.011,0.033,0.042,0.033,0.026,0.03,0.023,0.031,0.049,0.05,0.051,0.057,0.04,0.014,0.016,0.013,0.011,0.013,0.009,0.017,0.016,0.024,0.025,0.027,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
